Time,4 Pump A,3 Pump A,4 Switch A,3 Switch A,4 Pump B,3 Pump B,4 Switch B,3 Switch B,40K Diode,4K Diode 
1674612118.173984,0.5310626,0.5315001,0.531,0.5166875,0.5325,0.5199375,0.5326876,0.532875,0.5695225,0.565384 
1674612128.2107964,0.53125,0.5315625,0.531125,0.5165625,0.532875,0.5201875,0.5330625,0.533125,0.5695496,0.5654178 
1674612138.2301497,0.5310626,0.5316875,0.531,0.5165,0.533,0.5201875,0.533125,0.53325,0.5695562,0.5654536 
1674612148.2568345,0.5311875,0.53175,0.5311875,0.516625,0.532875,0.52025,0.533125,0.533375,0.5695464,0.56545 
1674612158.2763357,0.531125,0.53175,0.5311875,0.5165,0.5329375,0.52025,0.5331875,0.5333125,0.5695613,0.5654605 
1674612168.2952878,0.531625,0.5318126,0.531375,0.51675,0.533125,0.5205,0.5333125,0.5335,0.5695477,0.5654526 
1674612178.3286026,0.5314375,0.5319376,0.53125,0.517,0.53325,0.5204375,0.533375,0.5335,0.5695535,0.5654595 
1674612188.348681,0.5314375,0.5318126,0.5311875,0.5168125,0.533125,0.5204375,0.5333125,0.5334375,0.5695704,0.5654654 
1674612198.3682268,0.5314375,0.5319376,0.5310626,0.5166875,0.5329375,0.5204375,0.5331875,0.5333125,0.5696368,0.5655657 
1674612208.3875458,0.5313125,0.5319376,0.5311875,0.5168125,0.5330625,0.520375,0.53325,0.5333125,0.5696797,0.5656614 
1674612218.4212377,0.53125,0.532,0.5314375,0.516875,0.533125,0.5205626,0.5333125,0.533375,0.5697073,0.5656775 
1674612228.4548335,0.531375,0.53175,0.5313125,0.5168125,0.533125,0.5205,0.53325,0.533375,0.5697051,0.5656755 
1674612238.4891768,0.5313125,0.5316875,0.53125,0.516625,0.533125,0.5205,0.5331875,0.5334375,0.5696749,0.5656431 
1674612248.5245008,0.5314375,0.5318126,0.531375,0.5168125,0.5330625,0.5204375,0.53325,0.533375,0.569701,0.5656629 
1674612258.5524945,0.5314375,0.5316875,0.531375,0.5168125,0.533,0.520375,0.53325,0.5334375,0.5696441,0.5655789 
1674612268.586278,0.531,0.5314375,0.531,0.5163126,0.53275,0.5201875,0.5329375,0.533125,0.5696155,0.5655151 
1674612278.6214945,0.5310626,0.5315625,0.5310626,0.516625,0.53275,0.5200625,0.5329375,0.5330625,0.5696084,0.56551 
1674612288.6414642,0.53125,0.53175,0.5310626,0.5165625,0.5325625,0.5200625,0.5328125,0.533,0.5695779,0.5654524 
1674612298.6603105,0.53075,0.5315625,0.53075,0.5164375,0.5324375,0.5198125,0.532625,0.53275,0.5695567,0.5654287 
1674612308.695227,0.531125,0.5318126,0.531125,0.5166875,0.532625,0.5200625,0.532875,0.5330625,0.5695528,0.5654168 
1674612318.7152276,0.5311875,0.531875,0.53125,0.516875,0.5326876,0.520125,0.5328125,0.533,0.5695469,0.5654111 
1674612328.7342265,0.53125,0.5318126,0.5311875,0.5168125,0.5326876,0.5200625,0.532875,0.5330625,0.5695469,0.5654207 
1674612338.7607877,0.53125,0.53175,0.5311875,0.516875,0.532875,0.5201875,0.533,0.533125,0.5695415,0.565404 
1674612348.7795022,0.5313125,0.53175,0.531125,0.51675,0.5328125,0.5201875,0.532875,0.53325,0.569552,0.5654219 
1674612358.7982433,0.5314375,0.5318126,0.53125,0.516875,0.533,0.520375,0.533125,0.5331875,0.5695728,0.5654521 
1674612368.8141463,0.5315001,0.53175,0.53125,0.5169375,0.533,0.520375,0.533125,0.53325,0.569582,0.5654766 
1674612378.8411863,0.5315625,0.53175,0.5313125,0.5171875,0.5331875,0.5205,0.5331875,0.5333125,0.5696043,0.5655225 
1674612388.8608656,0.5315625,0.5320625,0.5315001,0.517125,0.53325,0.5205626,0.5333125,0.5335626,0.5696497,0.5655813 
1674612398.8800123,0.531375,0.531875,0.5315001,0.517,0.533125,0.5205,0.5333125,0.5335626,0.5696636,0.5655952 
1674612408.8987284,0.5315001,0.5319376,0.531375,0.517,0.5331875,0.5205,0.5333125,0.5335626,0.5696394,0.5655965 
1674612418.9181511,0.53125,0.531875,0.5311875,0.516875,0.5330625,0.5204375,0.5331875,0.5334375,0.5696599,0.5656167 
1674612428.9510782,0.531375,0.532,0.5311875,0.516875,0.533125,0.5205,0.5333125,0.533625,0.5696797,0.5656287 
1674612438.9705253,0.5316875,0.532,0.531375,0.517,0.5331875,0.5205,0.5333125,0.5335,0.5696736,0.5656397 
1674612448.9982638,0.5315625,0.5316875,0.53125,0.516875,0.533125,0.5204375,0.5333125,0.5334375,0.5696807,0.5656385 
1674612459.0173655,0.5314375,0.53175,0.5311875,0.5168125,0.5330625,0.5205,0.5333125,0.5335,0.5696394,0.565566 
1674612469.0354245,0.5315001,0.5316875,0.531125,0.517,0.5331875,0.5205,0.53325,0.5334375,0.5696697,0.5656131 
1674612479.0584521,0.531125,0.5314375,0.531,0.5169375,0.5330625,0.5204375,0.53325,0.5334375,0.5696653,0.565624 
1674612489.086715,0.5313125,0.5315625,0.531125,0.5169375,0.533,0.520375,0.53325,0.5334375,0.5696419,0.5655664 
1674612499.1137152,0.531375,0.5318126,0.531125,0.517,0.5330625,0.5204375,0.5333125,0.5335,0.5696177,0.5655439 
1674612509.140945,0.5308125,0.5314375,0.5309376,0.5166875,0.5326876,0.52,0.532875,0.5330625,0.569583,0.5654759 
1674612519.1608703,0.5311875,0.5316875,0.531125,0.5168125,0.532875,0.5201875,0.533,0.5331875,0.569583,0.5654614 
1674612529.180819,0.531375,0.532,0.53125,0.5169375,0.5330625,0.5203125,0.53325,0.533375,0.5695674,0.5654719 
1674612539.2010772,0.5315625,0.5319376,0.5315625,0.5171875,0.5333125,0.5204375,0.5333125,0.5335626,0.5695743,0.5654766 
1674612549.227629,0.531625,0.531875,0.5315001,0.517,0.5330625,0.5205,0.53325,0.5335,0.569573,0.5654737 
1674612559.2440379,0.5315625,0.5319376,0.5313125,0.5169375,0.533125,0.5205,0.53325,0.5334375,0.5695728,0.5654776 
1674612569.2643049,0.5315001,0.532,0.5314375,0.517,0.5330625,0.5204375,0.5333125,0.5335,0.5695728,0.5654656 
1674612579.2850242,0.5310626,0.53175,0.531125,0.51675,0.532875,0.52025,0.5330625,0.53325,0.5695655,0.5654505 
1674612589.3054178,0.531125,0.5315001,0.5310626,0.5164375,0.532875,0.5201875,0.533,0.53325,0.5697207,0.5657222 
